n_participant,n_items,prevalence_type,seed,total_runtime,no_of_cores,name
150.0,120.0,extreme,1264,644.0359256267548,1,AMD EPYC 9B45
300.0,60.0,equal,1264,1115.2844986915588,1,AMD EPYC 9B45
300.0,60.0,extreme,1264,1177.990434408188,1,AMD EPYC 9B45
300.0,120.0,equal,1264,1308.250966310501,1,AMD EPYC 9B45
300.0,120.0,extreme,1264,1434.0125517845154,1,AMD EPYC 9B45
150.0,60.0,equal,1265,483.6824679374695,1,AMD EPYC 9B45
150.0,60.0,extreme,1265,744.7555911540985,1,AMD EPYC 9B45
150.0,120.0,equal,1265,693.7498741149902,1,AMD EPYC 9B45
150.0,120.0,extreme,1265,582.2583808898926,1,AMD EPYC 9B45
300.0,60.0,equal,1265,872.7999184131622,1,AMD EPYC 9B45
300.0,60.0,extreme,1265,930.8823244571686,1,AMD EPYC 9B45
300.0,120.0,equal,1265,1457.121886253357,1,AMD EPYC 9B45
300.0,120.0,extreme,1265,1411.277599811554,1,AMD EPYC 9B45
150.0,60.0,equal,1266,292.33412313461304,1,AMD EPYC 9B45
150.0,60.0,extreme,1266,515.1842935085297,1,AMD EPYC 9B45
150.0,120.0,equal,1266,593.8538537025452,1,AMD EPYC 9B45
150.0,120.0,extreme,1266,442.47985649108887,1,AMD EPYC 9B45
300.0,60.0,equal,1266,1284.241811752319,1,AMD EPYC 9B45
300.0,60.0,extreme,1266,1199.546371936798,1,AMD EPYC 9B45
300.0,120.0,equal,1266,1228.6410763263702,1,AMD EPYC 9B45
300.0,120.0,extreme,1266,1348.751536846161,1,AMD EPYC 9B45
150.0,60.0,equal,1267,370.8863368034363,1,AMD EPYC 9B45
150.0,60.0,extreme,1267,281.8278250694275,1,AMD EPYC 9B45
150.0,120.0,equal,1267,606.9034111499786,1,AMD EPYC 9B45
150.0,120.0,extreme,1267,279.43493843078613,1,AMD EPYC 9B45
300.0,60.0,equal,1267,1205.2673897743225,1,AMD EPYC 9B45
300.0,60.0,extreme,1267,1052.0472016334534,1,AMD EPYC 9B45
300.0,120.0,equal,1267,1229.1941845417025,1,AMD EPYC 9B45
300.0,120.0,extreme,1267,1408.0623362064362,1,AMD EPYC 9B45
150.0,60.0,equal,1268,543.9197337627411,1,AMD EPYC 9B45
150.0,60.0,extreme,1268,578.0672080516815,1,AMD EPYC 9B45
150.0,120.0,equal,1268,629.2010409832001,1,AMD EPYC 9B45
150.0,120.0,extreme,1268,655.9913859367371,1,AMD EPYC 9B45
300.0,60.0,equal,1268,1377.5564930438995,1,AMD EPYC 9B45
300.0,60.0,extreme,1268,1145.8205626010897,1,AMD EPYC 9B45
300.0,120.0,equal,1268,909.919851064682,1,AMD EPYC 9B45
300.0,120.0,extreme,1268,1357.186396598816,1,AMD EPYC 9B45
150.0,60.0,equal,1269,514.3187766075134,1,AMD EPYC 9B45
150.0,60.0,extreme,1269,283.81298446655273,1,AMD EPYC 9B45
150.0,120.0,equal,1269,611.4066081047058,1,AMD EPYC 9B45
150.0,120.0,extreme,1269,674.260792016983,1,AMD EPYC 9B45
300.0,60.0,equal,1269,1064.247601032257,1,AMD EPYC 9B45
300.0,60.0,extreme,1269,946.6696288585664,1,AMD EPYC 9B45
300.0,120.0,equal,1269,1233.7491688728333,1,AMD EPYC 9B45
300.0,120.0,extreme,1269,1375.1672139167786,1,AMD EPYC 9B45
150.0,60.0,equal,1270,467.219664812088,1,AMD EPYC 9B45
150.0,60.0,extreme,1270,599.1071856021881,1,AMD EPYC 9B45
