"n_items","n_participants","prevalence","method","seed","accuracy","precision","recall","f1"
60,300,"equal","hbi","1239",0.806666666666667,0.86991050244117,0.77758887687399,0.771681096681097
60,300,"extreme","bf_ps","1239",0.876666666666667,0.857442420032603,0.847847243849268,0.838540747633649
60,300,"extreme","psis","1239",0.7,0.741274663837991,0.566689669246437,0.624210613472359
60,300,"extreme","waic","1239",0.723333333333333,0.751583063084506,0.582128639710932,0.640251015017166
60,300,"extreme","hbi","1239",0.84,0.852253325008743,0.810868058040651,0.790976726985832
120,300,"equal","bf_ps","1239",0.84,0.877136131412447,0.827220129099902,0.829120451373616
120,300,"equal","psis","1239",0.493333333333333,0.674131241326574,0.508374022260585,0.460866507628481
120,300,"equal","waic","1239",0.506666666666667,0.665763469944796,0.510625609255673,0.493326166230428
120,300,"equal","hbi","1239",0.8,0.846342007832691,0.773966221153744,0.760712014360123
120,300,"extreme","bf_ps","1239",0.903333333333333,0.885294229579944,0.848857262203127,0.856202129974797
120,300,"extreme","psis","1239",0.76,0.729619333324031,0.530342608731695,0.703683651272793
120,300,"extreme","waic","1239",0.766666666666667,0.73980687775836,0.545627845633473,0.717977483517712
120,300,"extreme","hbi","1239",0.85,0.862452253628724,0.799357282570555,0.796443451123421
60,150,"equal","bf_ps","1240",0.8,0.885535609592674,0.799035201124984,0.806467136520074
60,150,"equal","psis","1240",0.506666666666667,0.686780184101613,0.483611055758336,0.452384112322001
60,150,"equal","waic","1240",0.493333333333333,0.68448105937092,0.471737480417268,0.441092000858639
60,150,"equal","hbi","1240",0.733333333333333,0.813277530885504,0.746307227344379,0.739817542733953
60,150,"extreme","bf_ps","1240",0.926666666666667,0.897009496868054,0.848017041868294,0.867639378165694
60,150,"extreme","psis","1240",0.746666666666667,0.700221861471861,0.525989433574117,0.659321027745237
60,150,"extreme","waic","1240",0.753333333333333,0.673090798520365,0.546397596839423,0.681183084133609
60,150,"extreme","hbi","1240",0.88,0.833981211532232,0.807317600579751,0.81000111000111
120,150,"equal","bf_ps","1240",0.88,0.91019661453098,0.873701298701299,0.879229323308271
120,150,"equal","psis","1240",0.56,0.730127928549855,0.559177138650823,0.512287041468486
120,150,"equal","waic","1240",0.58,0.734869894171165,0.570909222356591,0.544682747616421
120,150,"equal","hbi","1240",0.78,0.782902909447532,0.770284715284715,0.740570427305121
120,150,"extreme","bf_ps","1240",0.933333333333333,0.909225697163986,0.862399505256648,0.880948122915336
120,150,"extreme","psis","1240",0.8,0.763062274159294,0.60050505050505,0.671263418662263
120,150,"extreme","waic","1240",0.793333333333333,0.754347657762292,0.595908060193775,0.656012785663948
120,150,"extreme","hbi","1240",0.886666666666667,0.872437888198758,0.788188002473717,0.80425932867359
60,300,"equal","bf_ps","1240",0.833333333333333,0.890081414319295,0.827811531150265,0.833631288116338
60,300,"equal","psis","1240",0.503333333333333,0.698332522557387,0.497687921059543,0.465103725426306
60,300,"equal","waic","1240",0.483333333333333,0.687981854054801,0.476088347864407,0.438211485571615
60,300,"equal","hbi","1240",0.783333333333333,0.849109999731118,0.780526771130473,0.78047754548108
60,300,"extreme","bf_ps","1240",0.906666666666667,0.896579144348638,0.844601430315716,0.865137710566665
60,300,"extreme","psis","1240",0.72,0.66057358755472,0.519671201814059,0.665140219638175
60,300,"extreme","waic","1240",0.713333333333333,0.648806594162631,0.484397348683063,0.636126997715697
60,300,"extreme","hbi","1240",0.89,0.891268595350228,0.820211930926217,0.839192669078864
120,300,"equal","bf_ps","1240",0.88,0.92109938983645,0.874945314323756,0.8824543023315
120,300,"equal","psis","1240",0.59,0.741803388021875,0.574875000483229,0.551204375375007
120,300,"equal","waic","1240",0.56,0.728511982418538,0.54621306801721,0.531764408480956
120,300,"equal","hbi","1240",0.78,0.787664271263935,0.754893513623826,0.7376948584297
120,300,"extreme","bf_ps","1240",0.913333333333333,0.923891192822077,0.82766439909297,0.857059071075811
120,300,"extreme","psis","1240",0.786666666666667,0.699959292904565,0.540601638715603,0.7055019740475
120,300,"extreme","waic","1240",0.786666666666667,0.706928200005123,0.540099094473091,0.711861463769245
